title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",India,2019,TV-14,135 min,"Comedies, Dramas, International Movies",Movie,4.3
Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",2019,TV-14,106 min,"Dramas, Independent Movies, International Movies",Movie,6.7
I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt",France,2019,TV-MA,81 min,"Dramas, Independent Movies, International Movies",Movie,7.5
Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",United States,2019,TV-PG,94 min,"Children & Family Movies, Dramas",Movie,4.9
Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,2019,TV-14,134 min,"Comedies, International Movies, Romantic Movies",Movie,7.2
The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Canada, Norway",2019,TV-MA,106 min,"Dramas, Independent Movies",Movie,6.9
The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",United States,2019,R,209 min,Dramas,Movie,7.8
Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,2019,TV-MA,86 min,Stand-Up Comedy,Movie,7.7
Super Monsters Save Christmas,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,2019,TV-Y,24 min,Children & Family Movies,Movie,4.8
Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,2019,TV-MA,92 min,Thrillers,Movie,4.9
Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies",Movie,6.7
The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,2019,TV-14,93 min,"Children & Family Movies, Comedies, Romantic Movies",Movie,5.5
"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,2019,TV-MA,86 min,Documentaries,Movie,6.7
Eye for an Eye,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard, Joe Mantegna, Olivia Burnette, Alexandra Kyle, Keith David, Philip Baker Hall",United States,1996,R,101 min,"Dramas, Thrillers",Movie,6.6
Mallesham,Raj R,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,2019,TV-PG,131 min,"Dramas, Independent Movies, International Movies",Movie,8.3
The Gift,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley",United States,2000,R,112 min,"Dramas, Thrillers",Movie,7.0
The Gift,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley",United States,2000,R,112 min,"Dramas, Thrillers",Movie,8.0
The Gift,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley",United States,2000,R,112 min,"Dramas, Thrillers",Movie,7.0
Iliza Shlesinger: Unveiled,Steve Paley,Iliza Shlesinger,United States,2019,TV-MA,78 min,Stand-Up Comedy,Movie,6.5
Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks, Kaden Leos, Jeff Wolfe, James Biberi",United States,2011,R,100 min,"Action & Adventure, Dramas, Independent Movies",Movie,3.1
Drive,Tarun Mansukhani,"Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,2019,TV-14,119 min,"Action & Adventure, International Movies",Movie,3.1
Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,2014,TV-14,84 min,Stand-Up Comedy,Movie,7.1
Suffragette,Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Ben Whishaw, Romola Garai, Meryl Streep, Finbar Lynch, Natalie Press, Samuel West, Geoff Bell, Amanda Lawrence, Shelley Longworth","United Kingdom, France",2015,PG-13,107 min,"Dramas, International Movies",Movie,6.9
The Green Inferno,Eli Roth,"Ignacia Allamand, Daryl Sabara, Nicolás Martínez, Lorenza Izzo, Ariel Levy, Magda Apanowicz, Sky Ferreira, Kirby Bliss Blanton, Aaron Burns, Ramón Llao, Richard Burgi","United States, Spain, Chile, Peru",2013,R,101 min,"Horror Movies, Independent Movies",Movie,5.3
Earthquake Bird,Wash Westmoreland,"Alicia Vikander, Riley Keough, Naoki Kobayashi, Jack Huston, Kiki Sukezane, Yoshiko Sakuma, Ken Yamamura, Kazuhiro Muroyama, Akiko Iwase, Crystal Kay",United States,2019,R,107 min,"Dramas, Romantic Movies",Movie,5.9
Guna 369,Arjun Jandyala,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",India,2019,TV-MA,143 min,"Action & Adventure, Dramas, International Movies",Movie,6.7
House Arrest,"Shashanka Ghosh, Samit Basu","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",India,2019,TV-14,105 min,"Comedies, Independent Movies, International Movies",Movie,5.5
Klaus,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",Spain,2019,PG,98 min,"Children & Family Movies, Comedies",Movie,8.1
Hit & Run,"David Palmer, Dax Shepard","Kristen Bell, Dax Shepard, Kristin Chenoweth, Tom Arnold, Bradley Cooper, Jess Rowland, Ryan Hansen, Beau Bridges, Michael Rosenbaum, David Koechner, Joy Bryant",United States,2012,R,100 min,"Action & Adventure, Comedies, Romantic Movies",Movie,7.0
Let It Snow,Luke Snellin,"Isabela Moner, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack, Matthew Noszka, Anna Akana, Miles Robbins, D'Arcy Carden, Mason Gooding, Andrea De Oliveira, Victor Rivers",United States,2019,PG-13,93 min,"Comedies, Dramas, LGBTQ Movies",Movie,5.8
Paradise Beach,Xavier Durringer,"Sami Bouajila, Tewfik Jallab, Mélanie Doutey, Hugo Becker, Kool Shen, Hubert Koundé, Seth Gueko, Sonia Couling, Chalad Na Songkhla, Flore Bonaventura, Nessbeal, Dorian N'Goumou dit Dosseh, Hache-P",France,2019,TV-MA,94 min,"Action & Adventure, Dramas, International Movies",Movie,4.6
U Turn,Pawan Kumar,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza",India,2016,TV-14,121 min,"International Movies, Thrillers",Movie,7.5
Burning Cane,Phillip Youmans,"Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly, Emyri Crutchfield, Cynthia Capers, Erika Woods",United States,2019,TV-MA,78 min,Dramas,Movie,5.5
Shadow,Zhang Yimou,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu","China, Hong Kong",2018,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",Movie,6.5
Seth Meyers: Lobby Baby,Neal Brennan,Seth Meyers,United States,2019,TV-MA,61 min,Stand-Up Comedy,Movie,7.4
Tune in for Love,Jung Ji-woo,"Kim Go-eun, Jung Hae-in, Park Hae-joon, Kim Guk-hee, Jung Eugene, Choi Jun-young, Yoo Yeol, Nam Mun-cheol",South Korea,2019,TV-MA,123 min,"Dramas, International Movies, Romantic Movies",Movie,7.1
Undercover Brother 2,Leslie Small,"Michael Jai White, Vince Swann, Barry Bostwick, Laila Odom, Gary Owen, Affion Crockett, Steven Lee Johnson, Lindsay Lamb, Zac Zedalis, Cj Sykes",United States,2019,R,85 min,Comedies,Movie,3.4
Takers,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",United States,2010,PG-13,107 min,Action & Adventure,Movie,6.2
A Fairly Odd Summer,Savage Steve Holland,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings",United States,2014,TV-G,68 min,"Children & Family Movies, Comedies",Movie,3.8
Big Time Movie,Savage Steve Holland,"Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson, Ciara Bravo, Challen Cates, Tanya Chisholm, Stephen Kramer Glickman, Trevor Devall, Christopher Shyer","United States, Canada",2012,TV-PG,68 min,"Children & Family Movies, Comedies",Movie,6.1
Hey Arnold! The Jungle Movie,"Raymie Muzquiz, Stu Livingston","Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui","United States, South Korea, Japan",2017,TV-PG,81 min,"Children & Family Movies, Comedies",Movie,7.5
Jinxed,Stephen Herek,"Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo, Donavon Stinson, Keegan Connor Tracy, Jay Brazeau","United States, Canada",2013,TV-G,69 min,"Children & Family Movies, Comedies",Movie,6.3
"Liar, Liar, Vampire",Vince Marcello,"Rahart Adams, Brec Bassinger, Tiera Skovbye, Larissa Albuquerque, Sarah Grey, Drew Tanner, Pauline Egan, Alex Zahara, Samuel Patrick Chu",United States,2015,TV-PG,68 min,"Children & Family Movies, Comedies",Movie,5.7
The Boy Who Cried Werewolf,Eric Bross,"Victoria Justice, Chase Ellison, Anna Galvin, Matt Winston, Jillian Marie, Valerie Tian, Kerry James, Andrea Brooks, Christie Laing, Cainan Wiebe, Brooke Shields, Brooke D'Orsay, Steven Grayhm","United States, Canada",2010,TV-G,86 min,"Children & Family Movies, Comedies",Movie,5.9
The Massively Mixed-Up Middle School Mystery,Will Eisenberg,"Garrett Ryan, Adam Hochstetter, Haley Tju, Brianne Tju, Jenna Ortega, Aaron Eisenberg, Celestial, Richard Balin",United States,2015,TV-G,40 min,"Children & Family Movies, Comedies",Movie,7.3
A Remarkable Tale,Marina Seresesky,"Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena, Jimmy Castro, Ricardo Nkosi, Montse Pla, Malcolm Treviño-Sitté, Pepa Charro, Esperanza Elipe, Mariana Cordero, Txema Blasco",Spain,2019,TV-MA,94 min,"Comedies, International Movies",Movie,5.3
American Son,Kenny Leon,"Kerry Washington, Steven Pasquale, Jeremy Jordan, Eugene Lee",United States,2019,TV-MA,90 min,Dramas,Movie,5.8
Christmas in the Heartland,Harvey Lowry,"Sierra McCormick, Brighton Sharbino, Bo Derek, Shelley Long, Christopher Rich, JoeDon Rooney, Tiffany Fallon, Paula Trickey, Christian Kane",United States,2017,TV-PG,112 min,Dramas,Movie,5.8
Monster House,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James",United States,2006,PG,91 min,"Children & Family Movies, Comedies",Movie,6.6
The Game,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",United States,1997,R,129 min,Thrillers,Movie,6.6
The Man Without Gravity,Marco Bonfanti,"Elio Germano, Michela Cescon, Elena Cotta, Silvia D'Amico, Vincent Scarito","Italy, Belgium, France",2019,TV-14,107 min,"Dramas, International Movies",Movie,5.8
Grego Rossello: Disculpe las molestias,Juani Libonatti,Grego Rossello,Argentina,2019,TV-MA,65 min,Stand-Up Comedy,Movie,4.5
Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV Show,5.5
Mehandi Circus,Saravana Rajendran,"Madhampatti Rangaraj, Shweta Tripathi, Vela Ramamoorthy, Ankur Vikal, G. Marimuthu, Sunny Charles",India,2019,TV-14,126 min,"Dramas, International Movies, Romantic Movies",Movie,7.3
Dolemite Is My Name,Craig Brewer,"Eddie Murphy, Wesley Snipes, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Kodi Smit-McPhee",United States,2019,R,118 min,"Comedies, Dramas",Movie,7.2
Rattlesnake,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt, Debrianna Mansini, Bruce Davis",United States,2019,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers",Movie,4.6
The Awakening of Motti Wolkenbruch,Michael Steiner,"Inge Maux, Noémie Schmidt, Joel Basman, Sunnyi Melles, Udo Samel, Rachel Braunschweig, Oriana Schrage, Meytal Gal",Switzerland,2018,TV-MA,94 min,"Comedies, Dramas, International Movies",Movie,6.6
Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su","Singapore, Malaysia",2019,TV-14,92 min,"Horror Movies, International Movies",Movie,5.3
Jenny Slate: Stage Fright,Gillian Robespierre,Jenny Slate,United States,2019,TV-MA,67 min,"Documentaries, Stand-Up Comedy",Movie,5.8
The Texas Chainsaw Massacre,Tobe Hooper,"Gunnar Hansen, Jim Siedow, Marilyn Burns, Edwin Neal, Paul A. Partain, Teri McMinn, William Vail, John Dugan, John Henry Faulk, Allen Danziger",United States,1974,R,83 min,"Cult Movies, Horror Movies, Independent Movies",Movie,6.2
Eli,Ciarán Foy,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",United States,2019,TV-MA,98 min,Horror Movies,Movie,5.8
"Love, Surreal and Odd",Yılmaz Erdoğan,"Aylin Kontante, Bülent Emrah Parlak, Büşra Pekin, Çağlar Çorumlu, Fatih Artman, Gupse Özay, Serkan Keskin, Şebnem Bozoklu",Turkey,2017,TV-14,95 min,"Comedies, International Movies, Romantic Movies",Movie,5.6
Seventeen,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana, Chani Martín, Iñigo Aranburu, Kandido Uranga, Javier Cifrián, Mamen Duch, Carolina Clemente, Jorge Cabrera, Daniel Fuster, Edgar Costas, Patxi Santamaría",Spain,2019,TV-MA,100 min,"Comedies, Dramas, International Movies",Movie,7.2
